ТМЦ;Ед.;Код;Выписано но не выдано;Аргун 29 (торговый зал);Основной склад (ул. Гумистинская 5);"Склад ""Магазин Гагра""";"Склад ""Магазин Гудаута"" №2 СМ, ул. 4 Марта №57";"Склад ""Магазин на турбазе""";"Склад магазина ""Инструменты на рынке""";Склад на площадке в Цандрипше;Склад ответственного хранения ул. Дзидзария;Списание основной склад;ТРАНЗИТНЫЙ СКЛАД;ТЦ БЗЫБЬ;Общ. кол-во
Переключатель 1кл промеж с/у белый механизм AtlasDesign Systeme;шт;00081024; ;17; ; ; ; ; ; ; ; ; ; ;17
Переключатель проходной 1-кл. СП AtlasDesign 10А IP20 (сх. 6) 10AX механизм бел. SE ATN000161;шт;00080276; ;2;12; ; ; ; ;14; ; ; ; ;28
Переключатель проходной 2-кл. СП AtlasDesign 10А IP20 (сх. 6/2) 10AX механизм бел. SE ATN000165;шт;00080277; ;1; ; ; ; ; ;20; ; ; ; ;21
Рамка 1-м AtlasDesign бел. SE ATN000101;шт;00080278; ;3;3; ;27; ; ;62; ; ;140; ;235
Рамка 2-м AtlasDesign универс. бел. SE ATN000102;шт;00080279; ;62; ; ;51; ; ;86; ; ; ; ;199
Рамка 3-м AtlasDesign универс. бел. SE ATN000103;шт;00080280; ;1; ; ;32; ; ;22; ; ; ; ;55
Рамка 4-м AtlasDesign универс. бел. SE ATN000104;шт;00080281; ;2; ; ;20; ; ;11; ; ; ; ;33
Рамка 5-м AtlasDesign универс. бел. SE ATN000105;шт;00080282; ;5; ; ; ; ; ;10; ; ; ; ;15
Розетка 1-м СП AtlasDesign 16А IP20 без заземл. без защ. шторок механизм бел. SE ATN000141;шт;00080283; ;127;8; ; ; ; ; ; ; ;30;60;225
Розетка 1-м СП AtlasDesign 16А IP20 с заземл. защ. шторки с крышкой механизм бел. SE ATN000146;шт;00080284; ;26; ; ; ; ; ;17; ; ; ; ;43
Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм бел. SE ATN000143;шт;00080285; ;84;107; ;16; ; ;56; ; ; ; ;263
Розетка 2-м без З/К с/у AtlasDesign 16А в сборе бел. ATN000120;шт;00080960; ; ; ; ; ; ; ;15; ; ;18; ;33
Розетка 2-м СП AtlasDesign 16А IP20 с заземл. в сборе бел. SE ATN000124;шт;00080286; ;19; ; ;2; ; ;40; ; ; ;70;131
Розетка компьютерная 1-м AtlasDesign RJ45 кат.5E механизм бел. SE ATN000183;шт;00080287; ;21; ; ;1; ; ;10; ; ; ; ;32
Розетка телевизионная TV AtlasDesign коннектор механизм бел. SE ATN000193;шт;00080288; ;9; ; ;1; ; ;3; ; ; ; ;13
Цвет карбон;;00080244;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм карбон SE ATN001011;шт;00080289; ;115;70; ;53; ; ;38; ; ; ; ;276
Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм карбон SE ATN001051;шт;00080290; ;61; ; ;78; ; ;40; ; ; ; ;179
Выключатель 3-кл. СП AtlasDesign 10А IP20 (сх. 1+1+1) 10AX механизм карбон SE ATN001031;шт;00080291; ; ;1; ; ; ; ;10; ; ; ; ;11
Переключатель 1кл промеж с/у карбон механизм AtlasDesign Systeme;шт;00081025; ;30; ; ; ; ; ; ; ; ; ; ;30
Переключатель проходной 1-кл. СП AtlasDesign 10А IP20 (сх. 6) 10AX механизм карбон SE ATN001061;шт;00080292; ;16; ; ; ; ; ;16; ; ; ; ;32
Переключатель проходной 2-кл. СП AtlasDesign 10А IP20 (сх. 6/2) 10AX механизм карбон SE ATN001065;шт;00080293; ;10; ; ; ; ; ;20; ; ; ; ;30
Рамка 1-м AtlasDesign карбон SE ATN001001;шт;00080294; ;151;114; ;64; ; ;93; ; ; ; ;422
Рамка 2-м AtlasDesign универс. карбон SE ATN001002;шт;00080295; ;23; ; ;62; ; ;95; ; ; ; ;180
Рамка 3-м AtlasDesign универс. карбон SE ATN001003;шт;00080296; ;114; ; ;40; ; ;44; ; ;30; ;228
Рамка 4-м AtlasDesign универс. карбон SE ATN001004;шт;00080297; ;40; ; ;18; ; ;14; ; ;15; ;87
Рамка 5-м AtlasDesign универс. карбон SE ATN001005;шт;00080298; ;3; ; ; ; ; ;10; ; ; ; ;13
Розетка 1-м AtlasDesign 16А без З/К с/у механизм карбон ATN001041;шт;00080978; ;79;34; ; ; ; ; ; ; ;60; ;173
Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм карбон SE ATN001043;шт;00080299; ;73; ; ;54; ; ;80; ; ;46; ;253
Розетка 2-м AtlasDesign 16А без З/К с/у в сборе карбон ATN001020;шт;00080970; ; ;100; ; ; ; ; ; ; ;50; ;150
Розетка 2-м СП AtlasDesign 16А IP20 с заземл. в сборе карбон SE ATN001024;шт;00080300; ;14; ; ;22; ; ;48; ; ; ; ;84
Розетка 2гн без З/К с/у карбон в сборе 16А AtlasDesign Systeme Electric (1/6);шт;00081021; ;54;13; ; ; ; ; ; ; ; ; ;67
Розетка компьютерная 1-м AtlasDesign RJ45 кат.5E механизм карбон SE ATN001083;шт;00080301; ;41; ; ;1; ; ;10; ; ; ; ;52
Розетка телевизионная TV AtlasDesign коннектор механизм карбон SE ATN001093;шт;00080302; ;1; ; ;6; ; ;19; ; ; ; ;26
Цвет мокко;;00080245;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм мокко SE ATN000611;шт;00080303; ;26; ; ; ; ; ; ; ; ; ; ;26
Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм мокко SE ATN000651;шт;00080304; ;9; ; ; ; ; ; ; ; ; ; ;9
Переключатель 1кл промеж с/у мокко механизм AtlasDesign Systeme Electric  (1/5);шт;00081028; ;5;3; ; ; ; ; ; ; ; ; ;8
Переключатель проходной 1-кл. СП AtlasDesign 10А IP20 (сх. 6) 10AX механизм мокко SE ATN000661;шт;00080305; ;8; ; ; ; ; ; ; ; ; ; ;8
Переключатель проходной 2-кл. СП AtlasDesign 10А IP20 (сх. 6/2) 10AX механизм мокко SE ATN000665;шт;00080306; ;11; ; ; ; ; ; ; ; ; ; ;11
Рамка 1-м AtlasDesign мокко SE ATN000601;шт;00080307; ;40; ; ; ; ; ; ; ; ;50; ;90
Рамка 2-м AtlasDesign универс. мокко SE ATN000602;шт;00080308; ;3; ; ; ; ; ; ; ; ; ; ;3
Рамка 3-м AtlasDesign универс. мокко SE ATN000603;шт;00080309; ;10; ; ; ; ; ;1; ; ; ; ;11
Рамка 4-м AtlasDesign универс. мокко SE ATN000604;шт;00080310; ;1; ; ; ; ; ; ; ; ; ; ;1
Розетка 1-м AtlasDesign 16А без З/К с/у механизм мокко ATN000641;шт;00080973; ;3; ; ; ; ; ; ; ; ; ; ;3
Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм мокко SE ATN000643;шт;00080311; ;2; ; ; ; ; ; ; ; ; ; ;2
Розетка 2-м AtlasDesign 16А без З/К с/у в сборе мокко ATN000620;шт;00080971; ;18; ; ; ; ; ; ; ; ; ; ;18
Розетка компьютерная AtlasDesign RJ45 кат.5E механизм мокко SE ATN000683;шт;00080312; ;8; ; ; ; ; ; ; ; ; ; ;8
Розетка телевизионная TV AtlasDesign коннектор механизм мокко SE ATN000693;шт;00080313; ;20; ; ;4; ; ; ; ; ; ; ;24
Цвет шампань;;00080246;; ; ; ; ; ; ; ; ; ; ; ; 
Выключатель 1-кл. СП AtlasDesign 10А IP20 (сх. 1) 10AX механизм шампань SE ATN000511;шт;00080314; ;26; ; ;47; ; ;26; ; ;50; ;149
Выключатель 2-кл. СП AtlasDesign 10А IP20 (сх. 5) 10AX механизм шампань SE ATN000551;шт;00080315; ;36; ; ; ; ; ;40; ; ; ; ;76
Переключатель 1кл промеж с/у шампань механизм AtlasDesign Systeme Electric  (1/5);шт;00081031; ;15; ; ; ; ; ; ; ; ; ; ;15
Переключатель проходной 1-кл. СП AtlasDesign 10А IP20 (сх. 6) 10AX механизм шампань SE ATN000561;шт;00080316; ;8; ; ; ; ; ;10; ; ; ; ;18
Переключатель проходной 2-кл. СП AtlasDesign 10А IP20 (сх. 6/2) 10AX механизм шампань SE ATN000565;шт;00080317; ;12; ; ; ; ; ;10; ; ; ; ;22
Рамка 1-м AtlasDesign шампань SE ATN000501;шт;00080318; ;3; ; ;45; ; ;99; ; ; ; ;147
Рамка 2-м AtlasDesign универс. шампань SE ATN000502;шт;00080319; ;17; ; ;32; ; ;35; ; ; ; ;84
Рамка 3-м AtlasDesign универс. шампань SE ATN000503;шт;00080320; ;70; ; ;20; ; ;50; ; ; ; ;140
Рамка 4-м AtlasDesign универс. шампань SE ATN000504;шт;00080321; ;13; ; ;10; ; ;10; ; ; ; ;33
Розетка 1-м СП AtlasDesign 16А IP20 с заземл. механизм шампань SE ATN000543;шт;00080322; ;4; ; ; ; ; ;50; ; ; ; ;54
Розетка 2-м AtlasDesign 16А без З/К с/у в сборе шампань ATN000520;шт;00080980; ;18; ; ; ; ; ; ; ; ; ; ;18
Розетка компьютерная AtlasDesign RJ45 кат.5E механизм шампань SE ATN000583;шт;00080323; ;57;1; ;5; ; ;10; ; ; ; ;73
Розетка телевизионная TV AtlasDesign коннектор механизм шампань SE ATN000593;шт;00080324; ;3; ; ;5; ; ;10; ; ; ; ;18
Серия Glossa;;00080238;; ; ; ; ; ; ; ; ; ; ; ; 
Цвет бежевый;;00080629;; ; ; ; ; ; ; ; ; ; ; ; 
