ТМЦ;Ед.;Код;Выписано но не выдано;Аргун 29 (торговый зал);Основной склад (ул. Гумистинская 5);"Склад ""Магазин Гагра""";"Склад ""Магазин Гудаута"" №2 СМ, ул. 4 Марта №57";"Склад ""Магазин на турбазе""";"Склад магазина ""Инструменты на рынке""";Склад на площадке в Цандрипше;Склад ответственного хранения ул. Дзидзария;Списание основной склад;ТРАНЗИТНЫЙ СКЛАД;ТЦ БЗЫБЬ;Общ. кол-во
Сальник PG29 IP54 (2 шт) d отв. 37 мм / d провод. 18-25 мм EKF;упак;00079602; ;20; ; ; ; ; ; ; ; ; ; ;20
Сальник PG42 IP54 (1 шт) d отв. 53 мм / d провод. 32-38 мм EKF;шт;00079603; ;20; ; ; ; ; ; ; ; ; ; ;20
Сальник PG48 IP54 (1 шт) d отв. 59 мм / d провод. 37-44 мм EKF;шт;00079604; ;20; ; ; ; ; ; ; ; ; ; ;20
Сальник PG9 IP54 (4 шт) d отв. 16мм / d провод. 4-8 мм EKF;упак;00079605; ;14; ; ; ; ; ; ; ; ; ; ;14
Хомуты (стяжки);;00079418;; ; ; ; ; ; ; ; ; ; ; ; 
Хомут 4.8х350мм нейлон черные (100шт)  IEK ЭЛК;упак;00080667; ;2; ; ; ; ; ; ; ; ; ; ;2
Хомут 4.8х400мм нейлон (100шт)  IEK ЭЛК;упак;00080666; ;7; ; ; ; ; ; ; ; ; ; ;7
Хомут P6.6 стандартный (б), 2.5x150 (100шт) FlexLock;упак;00079606; ;5; ; ;1; ; ; ; ; ; ; ;6
Хомут P6.6 стандартный (б), 3.6x300 (100шт) FlexLock;упак;00079608; ;13; ; ; ; ; ; ; ; ; ; ;13
Хомут P6.6 стандартный (ч), 3.6x300 FlexLock;упак;00079614; ;18;100; ; ; ; ; ; ; ; ; ;118
Хомут нейлоновый бел КСС 3х150 Fortisflex;упак;00079615; ;15;3; ;3; ; ;6; ; ; ; ;27
Хомут нейлоновый бел КСС 4х200 (100шт/упак) Fortisflex (1/10/200);упак;00079617;5;1;5; ; ; ; ;3; ; ; ; ;9
Хомут нейлоновый бел КСС 4х300 (100шт/упак) Fortisflex (1/10/100);упак;00079620; ;3; ; ; ; ; ;2; ; ; ; ;5
Хомут нейлоновый чер КСС 4х300 (100шт/упак) Fortisflex;упак;00079623; ;3; ; ; ; ; ; ; ; ; ; ;3
Хомут нейлоновый черн КСС 4х200 (100шт/упак) Fortisflex;упак;00079626; ;8; ; ; ; ; ; ; ; ; ; ;8
Счетчики;;00079234;; ; ; ; ; ; ; ; ; ; ; ; 
"Счетчик ""Меркурий"" 201.5 AM-02 1ф 5-60А класс точн. 1 тариф. имп. вых. мех. RS";шт;00079333; ;2; ; ; ; ; ;2; ; ; ; ;4
Счетчик 1ф 10-80А Din 1Т 201.6 механ кл.т. 1,0 Меркурий (1/24);шт;00079334; ; ; ; ; ; ; ;1; ; ;1; ;2
Счетчик 3ф 5-60А Din 1Т 231АМ-01 механ кл.т. 1,0;шт;00079335; ;21; ; ; ; ; ; ; ; ; ; ;21
Товары на заказ;;00080755;; ; ; ; ; ; ; ; ; ; ; ; 
Устройство намотки кабеля УНК 30М;комплект;00085184; ;2; ; ; ; ; ; ; ; ; ; ;2
"Устройство намотки кабеля УНК-7-6Н (мод.2) с 
ИДМ-20";комплект;00085185; ;1; ; ; ; ; ; ; ; ; ; ;1
Трековое освещение;;00079233;; ; ; ; ; ; ; ; ; ; ; ; 
Доп оборудование для треков;;00079312;; ; ; ; ; ; ; ; ; ; ; ; 
Коннектор для однофазного шинопровода L-образный LEEK белый (100);шт;00079325; ;21; ; ; ; ; ; ; ; ; ; ;21
Коннектор для однофазного шинопровода L-образный LEEK черный (100);шт;00079326; ;16; ; ; ; ; ; ; ; ; ; ;16
Коннектор для однофазного шинопровода прямой LEEK белый (100);шт;00079327; ;11; ; ; ; ; ; ; ; ; ; ;11
Коннектор для однофазного шинопровода прямой LEEK черный (100);шт;00079328; ;18; ; ; ; ; ; ; ; ; ; ;18
Терминал питания трека LEEK черный (100);шт;00079330; ;14; ; ; ; ; ; ; ; ; ; ;14
Шинопровод трековый;;00079313;; ; ; ; ; ; ; ; ; ; ; ; 
Шинопровод LE TRX 2 прямоугольный однофазный 2м LEEK черный (20);шт;00085861; ; ; ; ; ; ; ; ; ; ;20; ;20
Шинопровод однофазный 1м LEEK белый (20);шт;00079331; ;22; ; ; ; ; ; ; ; ; ; ;22
Шинопровод однофазный 1м LEEK черный (20);шт;00079332; ;13; ; ; ; ; ; ; ; ;30; ;43
Электрические щиты;;00079232;; ; ; ; ; ; ; ; ; ; ; ; 
Щитовое оборудование;;00079253;; ; ; ; ; ; ; ; ; ; ; ; 
DIN-рейка перфорир. (1000мм.) EKF PROxima;шт;00079321; ;30;20; ; ; ; ; ; ; ; ; ;50
DIN-рейка перфорир. (100мм.) EKF PROxima;шт;00079322; ;99; ; ; ; ; ; ; ; ; ; ;99
DIN-рейка перфорир. (200мм.) EKF PROxima;шт;00079323; ;101; ; ; ; ; ; ; ; ; ; ;101
DIN-рейка перфорир. (300мм.) EKF PROxima;шт;00079324; ;101; ; ;10; ; ; ; ; ; ;61;172
Электрощиты металл;;00079254;; ; ; ; ; ; ; ; ; ; ; ; 
Корпус металлический ЩУ 1/1-0  У1 IP66 (310x300x150) IEK ЭЛК;шт;00079314; ;1; ; ; ; ; ; ; ; ; ; ;1
Корпус пластиковый ЩУРн-П 3/8 И IP55 IEK ЭЛК;шт;00079315; ;2; ; ; ; ; ; ; ; ; ; ;2
ЩРН-12 (220х300х120) IP31 EKF PROxima;шт;00079316; ;1; ; ; ; ; ; ; ; ; ; ;1
Электрощиты пластик;;00079255;; ; ; ; ; ; ; ; ; ; ; ; 
Щиты EKF;;00079256;; ; ; ; ; ; ; ; ; ; ; ; 
КМПн 1/4 светлое дерево инд. штрих-код EKF PROxima;шт;00079277; ; ;30; ; ; ; ; ; ; ; ; ;30
"ЩРВ-П-12 ""SlimBox"" IP41 EKF";шт;00079283; ;1; ; ; ; ; ; ; ; ; ; ;1
ЩРВ-П-12 IP41 EKF PROxima;шт;00079285; ;21; ; ; ; ; ; ; ; ; ; ;21
"ЩРВ-П-18 ""SlimBox"" IP41 EKF";шт;00079286; ;3; ; ; ; ; ; ; ; ; ; ;3
ЩРВ-П-18 IP41 EKF PROxima;шт;00079287; ;11; ; ; ; ; ; ; ; ; ; ;11
"ЩРВ-П-24 ""SlimBox"" IP41 EKF";шт;00079288; ;5; ; ; ; ; ; ; ; ; ; ;5
ЩРВ-П-24 IP41 EKF PROxima;шт;00079289; ;9; ; ; ; ; ; ; ; ; ; ;9
ЩРВ-П-36 IP41 EKF PROxima;шт;00079290; ;7; ; ; ; ; ; ; ; ; ; ;7
ЩРН-П- 4 IP41 EKF PROxima;шт;00079291; ; ;10; ; ; ; ; ; ; ; ; ;10
ЩРН-П- 6 светлое дерево IP41 EKF PROxima;шт;00079292; ;3; ; ; ; ; ; ; ; ; ; ;3
ЩРН-П- 6 темное дерево IP41 EKF PROxima;шт;00079293; ;3; ; ; ; ; ; ; ; ; ; ;3
ЩРН-П- 8 IP41 EKF PROxima;шт;00079294; ;12; ; ; ; ; ; ; ; ; ; ;12
ЩРН-П- 8 светлое дерево IP41 EKF PROxima;шт;00079295; ;3; ; ; ; ; ; ; ; ; ; ;3
"ЩРН-П-10 ""SlimBox"" IP41 EKF";шт;00079297; ; ;2; ; ; ; ; ; ; ; ; ;2
ЩРН-П-10 темное дерево IP41 EKF PROxima;шт;00082346; ; ;15; ; ; ; ; ; ; ; ; ;15
"ЩРН-П-12 ""SlimBox"" IP41 EKF";шт;00079298; ;12; ; ; ; ; ; ; ; ; ; ;12
ЩРН-П-12 светлое дерево IP41 EKF PROxima;шт;00079299; ;12;5; ;10; ; ; ; ; ; ; ;27
ЩРН-П-12 темное дерево IP41 EKF PROxima (10/12 модулей);шт;00079300; ;8; ; ; ; ; ; ; ; ; ; ;8
ЩРН-П-18 IP41 EKF PROxima;шт;00079302; ;19; ; ; ; ; ; ; ; ; ; ;19
ЩРН-П-18 светлое дерево IP41 EKF PROxima;шт;00079303; ;8; ; ; ; ; ; ; ; ; ; ;8
ЩРН-П-18 темное дерево IP41 EKF PROxima;шт;00079304; ;7; ; ; ; ; ; ; ; ; ; ;7
"ЩРН-П-24 ""SlimBox"" IP41 EKF";шт;00079305; ;5; ; ; ; ; ; ; ; ; ; ;5
ЩРН-П-24 IP41 EKF PROxima;шт;00079306; ;15; ; ; ; ; ; ; ; ; ; ;15
ЩРН-П-24 светлое дерево IP41 EKF PROxima;шт;00079307; ;11; ; ; ; ; ; ; ; ; ; ;11
ЩРН-П-24 темное дерево IP41 EKF PROxima;шт;00079308; ;20; ; ; ; ; ; ; ; ; ; ;20
ЩРН-П-36 IP41 EKF PROxima;шт;00079309; ;4; ; ; ; ; ; ; ; ; ; ;4
ЩРН-П-45 IP41 EKF PROxima;шт;00079310; ;1; ; ; ; ; ; ; ; ; ; ;1
ЩУРн-П 3/10 (344х271х113) IP55 EKF Basic;шт;00079311; ;4; ; ; ; ; ; ; ; ; ; ;4
Щиты IEK;;00079257;; ; ; ; ; ; ; ; ; ; ; ; 
Бокс с прозрачной крышкой КМПн 2/4 для 4-х авт.выкл.наружн.установки  IEK ЭЛК;шт;00080678; ;1; ; ; ; ; ; ; ; ; ; ;1
Бокс ЩРН-П-12модулей навесной пластик  IP41  IEK ЭЛК;шт;00080677; ;6; ; ; ; ; ; ; ; ; ; ;6
Щиты System Electric;;00079258;; ; ; ; ; ; ; ; ; ; ; ; 
Бокс встраиваемый СП City9 Box 1 ряд 18мод. с прозр. дверцей SE EZ9E118S2FRU;шт;00079269; ;60; ; ; ; ; ; ; ; ; ; ;60
Бокс встраиваемый СП City9 Box 1 ряд 8мод. с прозр. дверцей SE EZ9E108S2FRU;шт;00079268; ;24; ; ; ; ; ; ; ; ; ; ;24
Бокс встраиваемый СП City9 Box 2 ряда 24мод. с прозр. дверцей SE EZ9E212S2FRU;шт;00079267; ;60; ; ; ; ; ; ; ; ; ; ;60
Бокс встраиваемый СП City9 Box 3 ряда 36мод. с прозр. дверцей SE EZ9E312S2FRU;шт;00079266; ;32; ; ; ; ; ; ; ; ; ; ;32
Бокс навесной ОП City9 Box 1 ряд 12мод. с прозр. дверцей SE EZ9E112S2SRU;шт;00079265; ;20; ; ;11; ; ; ; ; ; ; ;31
Бокс навесной ОП City9 Box 1 ряд 18мод. с прозр. дверцей SE EZ9E118S2SRU;шт;00079264; ;31; ; ; ; ; ; ; ; ; ; ;31
Бокс навесной ОП City9 Box 1 ряд 8мод. с прозр. дверцей SE EZ9E108S2SRU;шт;00079263; ;6; ; ;7; ; ; ; ; ; ; ;13
Бокс навесной ОП City9 Box 2 ряда 24мод. с прозр. дверцей SE EZ9E212S2SRU;шт;00079262; ;23; ; ;9; ; ; ; ; ; ; ;32
Бокс навесной ОП City9 Box 3 ряда 36мод. с прозр. дверцей SE EZ9E312S2SRU;шт;00079261; ;16; ; ; ; ; ; ; ; ; ; ;16
Бокс навесной ОП City9 Box XS 4мод. с прозр. дверцей SE EZ9EAB104;шт;00079260; ;7; ; ;6; ; ; ; ; ; ; ;13
Бокс навесной ОП City9 Box XS 6мод. с прозр. дверцей SE EZ9EAB106;шт;00079259; ; ; ; ;8; ; ; ; ; ; ; ;8
